ID,Category,Sub Category,Keyword,Do/Don't,Action,Example_Title,Output_Indication,Generated_Rule,Rule_Generation_Status
254,Treatment Set-up,Operative Status,Non-Operative,✔,,Efficacy of non-operative appendicitis treatment in pediatric patients,Non-Operative Appendicitis,"If the input contains the keyword ""Non-Operative"" in treatment setup context, apply the following processing: normalize any variant spellings or spacings (""non-operative"", ""nonoperative"", ""non operative"") to the capitalized, hyphenated form ""Non-Operative""; place this standardized modifier immediately before the relevant disease or condition term (stripping trailing words such as ""treatment"", ""therapy"", ""management"", ""approach""), yielding an output like ""Non-Operative <Disease/Condition>""; if more than one condition is described, create a separate indication for each and join them with "";;"", ensuring consistent medical terminology formatting.",Success
255,Treatment Set-up,Operative Status,Post Operative,X,,Impact of Neoadjuvant Chemo-Immunotherapy on Intra and Post Operative Outcomes in Patients with Bladder Cancer Treated with Radical Cystectomy and Pelvic Lymph Node Dissection: Prospective Surgical Assessment from the NURE-Combo Trial,Bladder Cancer,"If the input contains the keyword ""Post Operative"" (including case-insensitive and hyphenation variants such as ""postoperative"", ""post-operative"", or ""post‐operative"") in treatment setup context, DO NOT include this term in the output indication, as surgical-timing descriptors are not stand-alone clinical indications and their retention would add non-essential, potentially misleading information.",Success
256,Treatment Set-up,Operative Status,Pre Operative,X,,Beyond calipers: predictive value of pre operative Peak Systolic Velocity on Arteriovenous Fistula maturation,Arteriovenous Fistula,"If the input contains ""Pre Operative"" (including variants such as ""Pre-Operative"" or ""Preoperative"") in treatment setup context, DO NOT include this in the output indication, as operative-timing descriptors are excluded to maintain indication specificity and avoid non-essential temporal wording.",Success
257,Treatment Set-up,Operative Status,Pre Operative,X,,"Results of a phase II, open-label pilot study evaluating the safety and activity of liposomal irinotecan (Nal-IRI) in combination with 5-FU and oxaliplatin (NALIRIFOX) in preoperative treatment of pancreatic adenocarcinoma (NEO-Nal-IRI study).",Pancreatic Adenocarcinoma,"If the input contains ""Pre Operative"" in treatment setup context, DO NOT include this in the output indication, as this term describes treatment timing rather than a clinically meaningful indication and therefore does not meet medical indication formatting standards.",Success
258,Treatment Set-up,Operative Status,Operable,✔,,Predictive value of dynamic changes in ctDNA and baseline biomarkers with neoadjuvant atezolizumab in operable urothelial carcinoma in the ABACUS trial.,Operable Urothelial Carcinoma,"If the input contains the keyword ""Operable"" in treatment setup context, apply the following processing: identify the disease term most immediately linked to the word ""Operable"" (either immediately before or after), capitalize the descriptor, and output the indication in the exact format ""Operable <Disease Term>"" (e.g., ""Operable Urothelial Carcinoma""); if multiple distinct disease terms are modified by separate occurrences of ""Operable"", list each full indication and separate them with "";;"", ensuring consistent medical terminology formatting.",Success
259,Treatment Set-up,Operative Status,Operable,✔,,Real-world outcomes of patients with operable renal cell carcinoma from the German translational cancer research consortium (DKTK) network.,Operable Renal Cell Carcinoma,"If the input contains the keyword ""Operable"" in treatment setup context, apply the following processing: 

• Identify the primary disease/condition term that immediately follows or is contextually linked to ""operable/Operable"" within the sentence.  
• Construct the medical indication in the exact format ""Operable <Disease-Name>"", where:  
  – ""Operable"" is capitalized with an initial capital letter only.  
  – A single space separates ""Operable"" and the disease term.  
  – The disease term retains its medically accepted capitalization (e.g., ""Renal Cell Carcinoma"").  
• Remove any ancillary words (e.g., “patients with,” “stage II,” “newly diagnosed”) that are not part of the formal disease name.  
• If more than one distinct disease is qualified as operable in the same sentence, generate separate indications for each and separate them with the standard double-semicolon delimiter "";;"".  
• Do not alter or append additional descriptors (e.g., “locally,” “advanced”) unless they are an intrinsic part of the formal disease terminology.  

This ensures consistent medical terminology formatting for operability status in treatment setup indications.",Success
260,Onset,Onset by duration of disease,Acute Onset,**,Add only if disease name has the term,Acute Onset Rhythmic Tremor in Acute Frontal Cortical Infarction: A Case Report,Acute Frontal Cortical Infarction;;Acute Onset Rhythmic Tremor,"If the input contains ""Acute Onset"" in clinical context, apply contextual processing: 
1. Identify whether ""Acute Onset"" immediately precedes a clinically recognized disease, symptom, or condition term (e.g., “Acute Onset Rhythmic Tremor”).  
2. If yes, capture two separate indications:  
   a. the full phrase beginning with ""Acute Onset"" up to the end of the contiguous disease/condition term (“Acute Onset <Condition>”), and  
   b. the same disease/condition term without the modifier (“<Condition>”).  
3. Output both indications, preserving original capitalization and separating them with the standard delimiter “;;”.  
4. Do not add any “Acute Onset” phrase if it is used as a stand-alone temporal descriptor (e.g., “patients with acute onset were enrolled”) or if no attached disease/condition term follows it.  
This requires lexical-syntactic analysis to confirm adjacency and clinical validity, ensuring consistent medical indication formatting and clinical accuracy.",Success
261,Onset,Onset by duration of disease,Acute Onset,**,Add only if disease name has the term,Loss of CELF4 in Kidney Dorsal Root Ganglion Neurons Leads to Acute Onset of Glomerular Diseases,Acute Onset Glomerular Disease,"If the input contains the keyword ""Acute Onset"" in clinical context, apply contextual processing: output the phrase ""Acute Onset <Disease>"" immediately preceding the standardized disease name that is explicitly linked to the keyword (e.g., “Acute Onset of Glomerular Diseases” → “Acute Onset Glomerular Disease”), requiring the following analysis steps:
1. Identify the disease term that follows ""Acute Onset"" or is connected by prepositions such as ""of"" or ""in"".
2. Strip connecting words (“of”, “the”, “an”, plurals) and convert the disease term to its singular, title-case form.
3. Retain “Acute Onset” exactly once; if the extracted disease name already contains “Acute Onset”, remove the duplicate.
4. Assemble the final indication as “Acute Onset <Disease>”, using a single non-breaking space as the separator, ensuring consistent medical indication formatting and clinical accuracy.",Success
262,Onset,Onset by duration of disease,Acute Onset,**,Add only if disease name has the term,FP Example - A Case Report of Acute Onset Ascending Sensory Changes and Hyporeflexia: SCD or GBS- How to Decide Between the Two!,Guillain-Barre Syndrome;;Sickle Cell Disease,"If the input contains the keyword ""Acute Onset"" in clinical context, apply contextual processing:  
Include the word ""Acute"" in the output indication only when it is an intrinsic part of the officially recognized disease name (e.g., “Acute Myeloid Leukemia”, “Acute Lymphoblastic Leukemia”); otherwise, omit the modifier and output the standard disease term alone. This requires cross-checking each referenced disease against a standardized disease-name library to determine whether “Acute” is formally embedded in that name. Multiple qualifying diseases must be separated by “;;”, maintaining consistent medical indication formatting.",Success
263,Onset,Onset by Time,Early Onset,✔,,The Growing Problem of Early-Onset Gastrointestinal Cancers,Early Onset Gastrointestinal Cancer,"If the input contains the keyword ""Early Onset"" in clinical context, apply the following processing: 

1. Detect the phrase “early onset”, “early-onset” or “early-onset” (case-insensitive, with or without hyphen).  
2. Standardize it to the capitalized, space-separated form “Early Onset”.  
3. If the standardized term is immediately followed (within the same clause, ≤3 intervening words, ignoring punctuation) by a disease or organ-site term, concatenate as “Early Onset <Disease/Organ Site>” with a single space separator.  
4. Remove any residual hyphens, commas, or conjunctions between “Early Onset” and the disease term.  
5. When multiple distinct “Early Onset <Disease>” phrases are found, output each as a separate indication joined by “;;”.  
6. Preserve the word order “Early Onset” before the disease term, do not abbreviate, and do not apply additional qualifiers, maintaining consistent medical indication formatting and clinical accuracy.",Success
264,Onset,Onset by Time,Early Onset,✔,,Clinical and prognostic characteristics of early onset metastatic pancreatic cancer.,Early Onset Metastatic Pancreatic Cancer,"If the input contains the keyword ""Early Onset"" in clinical context, apply the following processing: 
1) Detect the literal strings ""early onset"", ""early-onset"", or ""early-onset"" (case-insensitive).  
2) Normalize these variants to the exact phrase ""Early Onset"" (capital E and O, no hyphen, followed by a single space).  
3) Place ""Early Onset"" as the leading qualifier of the disease/condition phrase that follows in the abstract title; the resulting indication must read “Early Onset <Disease/Condition>”.  
4) Preserve title-case capitalization for the entire indication and join multiple indications with the standard "";;"" separator if needed, ensuring no extra punctuation remains.  
This guarantees consistent medical terminology formatting and accurate representation of time-related disease onset.",Success
265,Onset,Onset by Time,Early Onset,✔,,Survival by race and ethnicity among insured patients with early-onset colorectal cancer.,Early Onset Colorectal Cancer,"If the input contains the keyword ""early onset"" (accept both “early onset” and “early-onset”, case-insensitive) in clinical context, apply the following processing:  

1. Normalize the phrase to capitalized, space-separated form “Early Onset”.  
2. Identify the contiguous disease term associated with the phrase:  
   • If the pattern is “early-onset <disease>”, capture the words immediately following “early-onset/early onset” up to the next punctuation mark, coordinating conjunction, or sentence boundary.  
   • If the pattern is “<disease> with early-onset/early onset”, capture the disease words that precede the phrase.  
3. Concatenate “Early Onset” + single space + the captured disease term, preserving standard medical capitalization (e.g., “Colorectal Cancer”).  
4. Output this as one complete medical indication; if more than one distinct disease is captured in the same abstract, list each as a separate indication separated by “;;”.  
5. Do not alter or append additional descriptors (stage, grade, mutation, etc.) that are not part of the disease name.  

Example:  
Input title – “Survival by race and ethnicity among insured patients with early-onset colorectal cancer.”  
Output indication – “Early Onset Colorectal Cancer”

This rule ensures precise extraction and standardized formatting of Early Onset disease indications.",Success
266,Onset,Onset by Time,Early,**,Analyse the abstract title and according to the interpretation decide whether to include Early or not.Mention it as Early Onset,A phase II trial of CapeOX plus nivolumab for early relapsed HER2-negative gastric cancer (JACCRO GC-11: FirSTAR trial).,Early Onset Relapsed HER2-Negative Gastric Cancer,"If the input contains the keyword ""Early"" in clinical context, apply contextual processing:  

• Analyse the surrounding words and clinical meaning to decide whether ""Early"" describes the timing of disease appearance or recurrence (e.g., “early-onset breast cancer”, “early relapsed gastric cancer”).  
• If yes, prepend the term “Early Onset” (capitalised, single space between the words) to the disease indication; position it immediately before any other modifiers (e.g., receptor status, mutation, stage).  
• If ""Early"" instead refers to something other than disease onset—such as early-phase/early-line trial design, early assessment, early toxicity, or early treatment response—omit the word entirely from the output indication.  
• When “Early Onset” is added, keep standard indication formatting: separate multiple indications with “;;”, avoid hyphens, and do not abbreviate.  

This requires semantic analysis of each occurrence of “Early” to ensure inclusion only when it denotes early disease onset, maintaining clinically accurate and consistently formatted medical indications.",Success
267,Onset,Onset by Time,Early,**,Analyse the abstract title and according to the interpretation decide whether to include Early or not.Mention it as Early Onset,A multi-institutional prospective study to compare postoperative quality of life of patients who undergo proximal or total gastrectomy for early gastric cancer (CCOG1602).,Early Onset Gastric Cancer,"If the input contains the keyword ""Early"" in clinical context (Onset by Time), apply contextual processing:  

• Step 1 – Identify positional relationship  
  – Confirm that ""Early"" is immediately linked to a disease term (e.g., “early gastric cancer”, “early colorectal carcinoma”, “early‐onset Alzheimer’s disease”).  
  – Allow only whitespace, hyphen, or the words “onset” / “stage” / histological qualifiers (e.g., “gastric”) between “Early” and the disease name.  
  – Ignore occurrences where “Early” modifies non-disease concepts (e.g., “early detection”, “early postoperative”, “early phase trial”, “early response”).  

• Step 2 – Semantic validation  
  – Exclude if the phrase clearly refers to tumour stage (“early-stage lung cancer”) rather than age-of-onset.  
  – Include if the text conveys age-related onset or is ambiguous yet traditionally accepted as early-onset terminology (e.g., “early gastric cancer”).  

• Step 3 – Output construction  
  – Replace the original phrase with “Early Onset <Disease Name in Title Case>”.  
  – Remove words such as “stage”, “carcinoma vs. cancer” duplication, and any connecting punctuation.  
  – Examples:  
    • “early gastric cancer” → “Early Onset Gastric Cancer”  
    • “early-onset Alzheimer’s disease” → “Early Onset Alzheimer’s Disease”  

• Step 4 – Formatting  
  – Capitalise the first letters (Title Case).  
  – If multiple indications are generated, separate each with “;;”.  
  – Maintain one space between “Early Onset” and the disease name, ensuring no trailing punctuation, to ensure consistent medical terminology formatting.

This contextual processing requires semantic analysis of disease linkage versus non-disease temporal descriptors before applying the “Early Onset” transformation.",Success
268,Onset,Onset by Time,Early,**,Analyse the abstract title and according to the interpretation decide whether to include Early or not.Mention it as Early Onset,FP Example - Continuation rather than early induction in S-1 adjuvant chemotherapy and prognosis in patients after biliary tract cancer resection.,Resected Biliary Tract Cancer,"If the input contains the keyword ""Early"" in clinical context, apply contextual processing:  
• Examine the two-to-five words immediately following or preceding ""Early"".  
• If those words form the pattern ""onset (of | ) <Disease/Condition>"" or an accepted synonym such as ""early-onset <Disease>"", convert to the indication format ""Early Onset <Disease>"" (retain disease words exactly as standardized in the final indication; single space between “Early” and “Onset”).  
• If ""Early"" instead modifies treatment timing (e.g., ""early induction"", ""early administration""), cancer stage (e.g., ""early stage""), diagnostic timing (""early detection""), or any noun other than disease onset, DO NOT include ""Early"" in the output indication.  
This requires contextual language analysis to distinguish true disease-onset usage from non-onset usages, ensuring clinically accurate inclusion or exclusion of the term.",Success
269,Onset,Onset by Time,New Onset,✔,,Pembroluzimab-induced Toxic Encephalitis Presenting as New Onset Refractory Status Epilepticus,New Onset Refractory Status Epilepticus;;Toxic Encephalitis,"If the input contains the keyword “New Onset” in clinical context, apply the following processing: 

1. Detect the exact phrase “New Onset” (case-insensitive) when it precedes a clinical condition.  
2. Capture the contiguous disease/condition wording that immediately follows “New Onset” up to, but not including, the first punctuation mark (, ; : .), coordinating conjunction (“and”, “or”), or preposition (“with”, “without”, “of”) that signals a second distinct concept.  
3. Output the captured phrase with “New Onset” preserved as the leading words and with original capitalization, producing a stand-alone medical indication (e.g., “New Onset Refractory Status Epilepticus”).  
4. If multiple distinct conditions are present in the same sentence or title, repeat steps 1–3 for each occurrence and separate the resulting indications with “;;”.  
5. Do not append “New Onset” to conditions that are not directly preceded by the phrase, and do not truncate the disease wording that legitimately belongs to the same clinical concept (e.g., include modifiers such as “refractory”, “acute”, “severe” when they appear before the first exclusion delimiter in step 2).  

Formatting note: Maintain original spacing and capitalization within each indication and use “;;” to separate multiple indications, ensuring consistent medical indication formatting and clinical accuracy.",Success
270,Onset,Onset by Time,New Onset,✔,,Correlation Between Brain CT Perfusion and Rhythmic and Periodic EEG Patterns in a Patient with New-onset Focal Neurological Deficits,New Onset Focal Neurological Deficit,"If the input contains the keyword “New Onset” in clinical context, apply the following processing: 

• Detect any case‐insensitive variant of the phrase, including “new onset”, “new-onset”, or “new-on set”.  
• Normalize the phrase to the exact wording “New Onset” (capital “N” and “O”, single space, no hyphen).  
• Retain the clinical condition that immediately follows the phrase and concatenate it as “New Onset <Condition>”.  
• Remove any linking words that intervene between the phrase and the condition (e.g., “of”, “in”, “with”) so the final output reads smoothly.  
• If multiple “New Onset” indications are present, list each as a separate indication and separate them with “;;”.  

Example transformation:  
“…patient with new-onset focal neurological deficits” → “New Onset Focal Neurological Deficits”  

This standardizes onset terminology, ensuring consistent medical indication formatting.",Success
271,Onset,Onset by Time,Very Late Onset,✔,,Very Late-onset Friedreich's Ataxia (VLOFA) Presenting as Spastic Ataxia in Later Life,Spastic Ataxia;;Very Late Onset Friedreich's Ataxia,"If the input contains the keyword ""Very Late Onset"" in clinical context, apply the following processing:  
1. Detect all variant spellings ­– “Very Late-onset”, “very late onset”, “very-late-onset”, “VLO”, “VLO-” – and normalize them to the exact phrase “Very Late Onset”.  
2. Capture the full disease/condition name that immediately follows (or, if preceded by “of”, that immediately follows the preposition), ignoring any parenthetical abbreviations that follow that disease name.  
3. Concatenate the normalized phrase and the captured disease name with a single space to form one indication, capitalizing each principal word (e.g., “Very Late Onset Friedreich's Ataxia”).  
4. Output this indication as one complete element; if additional indications are extracted from the same abstract, separate them with “;;”, maintaining consistent medical indication formatting.",Success
272,Onset,Onset by Age,Adult Onset,✔,,Greater Childhood Adversity and Allostatic Load Biomarkers Among Adult Onset Multiple Sclerosis,Adult Onset Multiple Sclerosis,"If the input contains the keyword ""Adult Onset"" in clinical context, apply the following processing: 

1. Normalise the phrase:
   • Accept the variants ""adult onset"", ""Adult-onset"", or ""adult-onset"" (case-insensitive, with or without hyphen) and normalise them to the capitalised form ""Adult Onset"".  
2. Locate the disease term:
   • Identify the primary disease name that immediately follows the normalised phrase, skipping any commas, conjunctions, or descriptive adjectives that are not part of the disease entity (e.g., ignore words such as “recurrent”, “severe”, “familial”).  
3. Construct the indication:
   • Concatenate the normalised phrase and the disease name with a single space to form “Adult Onset <Disease>”.  
   • If multiple distinct diseases follow (e.g., “Adult Onset asthma and diabetes”), generate a separate indication for each disease and separate the resulting indications with “;;”.  
4. Capitalisation & punctuation:
   • Keep “Adult Onset” capitalised exactly as shown.  
   • Capitalise each significant word of the disease name.  
   • Remove trailing punctuation, parentheses, or quotation marks.  
5. Duplication safeguard:
   • If the disease name already includes “Adult Onset”, do not duplicate the phrase.  
6. Output:
   • Return the final indication(s) exactly in the form “Adult Onset <Disease>” (or a “;;”-separated list of such indications), ensuring consistent medical terminology formatting.",Success
273,Onset,Onset by Age,Adult Onset,✔,,A Unique Case of Adult Onset Dyskinesia due to Adenylyl Cyclase 5 Mutation,Adult Onset Adenylyl Cyclase 5 Mutated Dyskinesia,"If the input contains the keyword ""Adult Onset"" in clinical context, apply the following processing:  

1. Detect any case-insensitive variant of the phrase, including “Adult Onset”, “adult onset”, “Adult-onset”, or “adult-onset”.  
2. Normalize the phrase to the exact, capitalized, space-separated form “Adult Onset” (replace any hyphen with a space and capitalize the first letters).  
3. Relocate (or insert) the normalized phrase to the very beginning of the output indication so that it becomes the leading descriptor.  
4. Remove any adjoining punctuation, prepositions, or conjunctions that originally followed the phrase (e.g., “of”, “with”, “due to”).  
5. Append a single space after “Adult Onset” before continuing with the next element of the indication (e.g., gene mutation, biomarker status, or disease name).  
6. Do not insert additional punctuation before or after the phrase, and ensure no duplicate onset descriptors remain elsewhere in the indication.  

Example result: “Adult Onset Adenylyl Cyclase 5 Mutated Dyskinesia”  

This processing maintains consistent medical terminology formatting.",Success
274,Onset,Onset by Age,Pediatric Onset,✔,,Greater Childhood Adversity and Allostatic Load Biomarkers Among Pediatric Onset Multiple Sclerosis,Pediatric Onset Multiple Sclerosis,"If the input contains the keyword “Pediatric Onset” (case-insensitive, with or without an intervening hyphen, e.g., “pediatric-onset” or “Pediatric onset”) in clinical context, apply the following processing:  

1. Normalise the phrase to the exact, title-case text “Pediatric Onset”.  
2. Locate the nearest explicit disease/condition name that is grammatically linked to the phrase:  
   • If the disease immediately follows the phrase (“Pediatric Onset Multiple Sclerosis”), capture the following disease words up to the next punctuation mark or line break.  
   • If the disease precedes the phrase (“Multiple Sclerosis with Pediatric Onset”), capture the preceding disease words up to the previous punctuation mark.  
3. Construct the output indication as “Pediatric Onset <Captured-Disease>”, preserving original disease capitalisation and adding a single space between the phrase and the disease.  
4. Replace any internal hyphen in “pediatric-onset” with a space; remove surplus descriptors such as “early”, “late”, or age ranges (“early pediatric-onset” → “Pediatric Onset”).  
5. If multiple distinct diseases are linked to the phrase, generate separate indications and separate them with “;;”.  
6. Output exactly the constructed indication(s) with no additional text, maintaining consistent medical terminology formatting.",Success
275,Onset,Onset by Age,Pediatric Onset,✔,,Two Cases of Late Pediatric Onset Hemophagocytic Lymphohistiocytosis with Initial Central Nervous System Involvement,Paediatric Late Onset Hemophagocytic Lymphohistiocytosis,"If the input contains the keyword ""Pediatric Onset"" in clinical context, apply the following processing: replace ""Pediatric"" with the British‐English ""Paediatric"", position ""Paediatric"" at the beginning of the onset phrase ahead of any timing modifiers (e.g., convert ""Late Pediatric Onset"" or ""Early Pediatric Onset"" to ""Paediatric Late Onset"" or ""Paediatric Early Onset"" respectively), retain the word ""Onset"" at the end of the phrase, preserve initial-cap formatting for each component, and keep the subsequent disease name exactly as written, ensuring consistent British-English medical terminology formatting and clinical accuracy.",Success
276,Onset,Onset by Age,Young Onset,✔,,Sex-based differences in the transcriptomic metabolic profiling in young onset colorectal cancer (YOCRC).,Young Onset Colorectal Cancer,"If the input contains the keyword ""young"" and/or ""young onset"" in clinical context (including explicit phrase ""young onset"" or fused acronyms such as ""YOCRC"", ""YOPC"", etc.), apply the following processing:  
1. Identify the associated disease term that immediately follows, precedes, or is embedded in the acronym (e.g., “young onset colorectal cancer”, “colorectal cancer with young onset”, “YOCRC”).  
2. Normalize that disease term to its full, standard name in Title Case (e.g., “colorectal cancer” → “Colorectal Cancer”).  
3. Construct the indication as “Young Onset <Disease-Name>”, preserving the exact capitalization shown (“Young Onset” + space + Disease Name).  
4. If multiple young-onset diseases are present, output each as a separate indication separated by “;;”.  
5. If no clear disease term is found, omit the indication to avoid ambiguity.  
This ensures consistent medical terminology formatting and captures age-related onset information with clinical precision.",Success
277,Onset,Onset by Age,Young Onset,✔,,Tumoral microbial and pathway alterations associated with young-onset rectal cancer and its response to therapy.,Young Onset Rectal Cancer,"If the input contains the keyword ""Young Onset"" in the clinical context (accepting the case–insensitive variants ""young onset"", ""young-onset"", or the abbreviation ""YO""), apply the following processing: 

1. Normalize the phrase to the capitalized, space-separated form ""Young Onset"" (remove any hyphens or abbreviations and convert to Title Case).  
2. Identify the main disease entity that immediately follows or is semantically linked to the phrase (e.g., “rectal cancer”, “breast carcinoma”).  
3. Construct the indication as: ""Young Onset <Disease Name>"" where <Disease Name> is retained exactly as it appears in standard clinical terminology, with the first letter of each significant word capitalized.  
4. Ensure no duplication—if “Young Onset” is already correctly formatted in the source, do not add it a second time.  
5. Append "";;"" if additional indications follow, to maintain consistent separation between multiple medical indications, ensuring proper medical indication formatting and clinical accuracy.",Success
278,Onset,Onset by Time,Early or Late Onset,✔,Mention as Early/Late Onset,Age of host and its impact on progression and treatment response in tumors derived from early or late onset Hispanic colorectal cancer patients,Early/Late Onset Colorectal Cancer,"If the input contains the keyword “Early or Late Onset” (including any case-insensitive or punctuation variants such as “early- or late-onset”, “early or late-onset”, “early/late onset”) in clinical context, apply the following processing:  

• Replace the entire matched phrase with the normalized text “Early/Late Onset”, capitalizing E, L and O, and substituting the word “or” (or the hyphen) with a forward slash “/”.  
• Attach a single space after the normalized text, then append the exact disease term(s) that immediately follow or precede the original phrase.  
 • If one disease term is present → output format: “Early/Late Onset <Disease>”.  
 • If multiple disease terms are present → create a separate indication for each disease and join them with “;;” (e.g., “Early/Late Onset Breast Cancer;; Early/Late Onset Ovarian Cancer”).  
• Preserve original disease capitalization; do not insert additional punctuation.  
• If no disease term can be confidently linked to the phrase, output only “Early/Late Onset”.  

This rule ensures consistent onset terminology formatting and clinical accuracy.",Success
279,Onset,Onset by Time,Standard Onset,✔,,Clinical characteristics of standard onset type 1 diabetes in children,Standard Onset Type 1 Diabetes,"If the input contains the keyword ""Standard Onset"" in clinical context, apply the following processing: 
1) Detect any case-insensitive variant of the phrase (“standard onset”, “standard-onset”, or “standard-onset”) and normalise it to the exact Title-Case form “Standard Onset” with no hyphen.  
2) Extract the primary disease/condition name that appears in the same clause or sentence, preserve its official Title-Case wording, and place it immediately after the normalised onset phrase.  
3) Construct the final indication as “Standard Onset <Disease>”, separated by a single space.  
4) If more than one distinct disease name is present, generate a separate indication for each and join them with “;;”.  
5) Remove demographic descriptors (“children”, “adults”), study design terms, and prepositions, but retain clinically relevant subtype qualifiers that are part of the disease name (e.g., “Type 1”, “Type 2”).  
6) Ensure no duplicate indications are output.  

Formatting note: output “Standard Onset <Disease>” indications exactly as specified, ensuring consistent medical terminology formatting.",Success
280,Onset,Onset by Time,Recent Onset,✔,,High-Intensity Interval Training Outperforms Moderate Exercise in Aerobic Capacity for Recent-Onset Idiopathic Inflammatory Myopathies: A Randomized Controlled Trial,Recent Onset Idiopathic Inflammatory Myopathy,"If the input contains the keyword ""Recent Onset"" in clinical context, apply the following processing: 

1. Detect the case-insensitive pattern “recent-onset” or “recent onset”.  
2. Normalize the phrase to “Recent Onset” (capital R and O, single space, no hyphen).  
3. Ensure the normalized phrase precedes the referenced disease name; if it follows or is embedded, reposition it to the front.  
4. Convert any plural disease form ending in “-ies” to its singular “-y” (e.g., “myopathies” → “myopathy”); if the disease ends with a simple plural “-s”, drop the trailing “s” unless “s” is part of the root word.  
5. Return the final indication in the form “Recent Onset <Disease-Singular>”, maintaining one space as the separator and preserving title-case capitalization, ensuring consistent medical terminology formatting.",Success
281,Onset,Onset by Time,Recent Onset,✔,,Differences in Pharmacological Prescription to Patients with Recent-onset Arthritis: Analysis from the Gender Perspective,Recent Onset Arthritis,"If the input contains the keyword ""Recent Onset"" in clinical context, apply the following processing: 

• Normalize any case or hyphenation variant of the phrase (e.g., ""recent onset"", ""recent-onset"", ""Recent-onset"") to the exact text ""Recent Onset"".  
• Identify the disease/condition name that immediately follows the phrase (ignoring filler words such as ""of"", ""in"", ""arthritis patients with"", etc.) up to the next punctuation mark or end of phrase.  
• Construct the medical indication in the format ""Recent Onset <Disease>"", using a single space between ""Recent Onset"" and the captured disease term, removing any residual hyphens, and capitalizing each major word of the disease name.  
• Output the resulting indication, appending "";;"" if additional indications follow, to maintain consistent medical indication formatting and clinical accuracy.",Success
282,Onset,Onset by Time,Average Onset,✔,,Differences In Genetic Ancestry And Presence Of Gastric Precursor Lesions In Individuals With Average Onset Gastric Cancer,Average Onset Gastric Cancer;;Gastric Precursor Lesion,"If the input contains the keyword ""Average Onset"" in clinical context, apply the following processing:  

• Locate the disease or cancer noun-phrase that immediately follows (or, if preceded by a comma, immediately precedes) the phrase ""Average Onset"".  
• Concatenate the literal text ""Average Onset"" with a single space and the captured disease term to form one unified indication in the exact format ""Average Onset <Disease>"".  
• Preserve original capitalization of both words in ""Average Onset"" and of the disease term; do not insert hyphens or additional punctuation.  
• If multiple “Average Onset”-disease pairs occur in the same sentence or abstract, output each as a separate indication and separate them from any other indications with the standard "";;"" delimiter.  
• If ""Average Onset"" appears without a clearly identifiable disease term (e.g., “average age of onset”), do not generate an indication for that occurrence, as it lacks sufficient clinical context.",Success
283,Onset,Onset by Age,Early Age Onset,✔,,Prevalence And Risk Factors For Metachronous Colorectal Neoplasia In Patients With Non-Hereditary Early Age Onset Colorectal Neoplasia,Metachronous Colorectal Neoplasia;;Non-Hereditary Early Age Onset Colorectal Neoplasia,"If the input contains the keyword ""Early Age Onset"" in clinical context, apply the following processing: 

1. Detect the phrase in any common variant ­– “Early Age Onset”, “Early-age-onset”, “Early-onset”, or “Early Age-of-Onset” (case-insensitive, hyphens optional).  
2. Normalise the detected variant to the exact, capital-initial, space-separated form “Early Age Onset”.  
3. Locate the disease noun phrase that immediately follows the keyword; include any pre-modifiers that precede the keyword (e.g., “Non-Hereditary”) so the full construct becomes “[Optional-Qualifier ]Early Age Onset <Disease>”.  
4. Output this construct as a stand-alone medical indication, preserving original capitalisation, using single spaces, and without inserting additional hyphens.  
5. When multiple indications are present, separate each with the standard delimiter “;;”.  

This rule standardises age-related onset terminology, ensuring consistent medical indication formatting and clinical accuracy.",Success
284,Onset,Onset by Time,Very Early Onset,✔,,Deconvolution of the Lipidomic Signature of Very Early Onset Diagnosis of Systemic Sclerosis (VEDOSS) and Established Disease: Lipid Biomarker Features That Predict Disease Progression in Skin and Lung,Very Early Onset Systemic Sclerosis,"If the input contains the keyword ""Very Early Onset"" in clinical context, apply the following processing:  

• Recognize any case-insensitive or hyphenated variant (“very early onset”, “Very-Early-Onset”, “very early-onset”) as equivalent to the canonical phrase.  
• Identify the primary disease term that (a) immediately follows the phrase or (b) precedes the phrase within constructions such as “<Disease> with very early onset”; ignore filler words like “diagnosis of”, “patients with”, “of”, “in”, “and”.  
• Output the indication in the exact format: “Very Early Onset <Disease Term>”, using a single space between words and preserving the source capitalization of the disease term.  
• If more than one distinct disease term is linked to the same onset qualifier, list each as a separate indication and separate them with “;;”.  
• Do not include additional descriptors (e.g., organ sites, study types, biomarker details) unless they are part of the formal disease name.  
• This rule ensures consistent medical terminology formatting for onset-qualified indications.",Success
