ID,Abstract Title,Primary Drug,Secondary Drug,Comparator Drug,
336,"Patritumab deruxtecan (HER3-DXd) in active brain metastases (BM) from metastatic breast (mBC) and non–small cell lung cancers (aNSCLC), and leptomeningeal disease (LMD) from advanced solid tumors: Results from the TUXEDO-3 phase II trial.",Patritumab Deruxtecan,,,
337,A phase II study of an anti-telomerase CD4+ T-helper vaccine (UCPVax) with or without temozolomide in newly diagnosed glioblastoma.,Temozolomide,,,
338,INB-200: Phase 1 study of gene-modified autologous gamma-delta (γδ) t cells in newly diagnosed glioblastoma multiforme (GBM) patients receiving maintenance temozolomide (TMZ).,"Gamma-Delta T Cell, Temozolomide",,,
339,Immunological correlates from phase I study of CARv3-TEAM-E in patients with recurrent glioblastoma (GBM): INCIPIENT trial.,CARV3-TEAM-E,,,
340,First-line encorafenib + cetuximab + mFOLFOX6 in BRAF V600E-mutant metastatic colorectal cancer (BREAKWATER): Progression-free survival and updated overall survival analyses.,"Cetuximab, Encorafenib, mFOLFOX6",,,
341,Tissue-free circulating tumor DNA assay and patient outcome in a phase III trial of FOLFOX-based adjuvant chemotherapy (Alliance N0147).,Folfox,,,
342,Long-term safety and efficacy of sotorasib plus panitumumab and FOLFIRI for previously treated KRAS G12C-mutated metastatic colorectal cancer (mCRC): CodeBreaK 101 (phase 1b).,"FOLFIRI, Panitumumab, Sotorasib",,,
343,"Efficacy and safety of olomorasib, a second-generation KRAS G12C inhibitor, plus cetuximab in KRAS G12C-mutant advanced colorectal cancer.","Cetuximab, Olomorasib",,,
344,The KRAS G12C inhibitor MK-1084 for KRAS G12C–mutated advanced colorectal cancer (CRC): Results from KANDLELIT-001.,MK-1084,,,
345,Debate: Osimertinib Alone as Front-Line Therapy for a Patient With Metastatic EGFR Non–Small Cell Lung Cancer,Osimertinib,,,
346,Development of Afami-Cel–Engineered Cell Therapy for Advanced Synovial Sarcoma,Afamitresgene Autoleucel,,,
347,Combination of zanubrutinib (zanu) + venetoclax (ven) for treatment-naive (TN) CLL/SLL: Results in SEQUOIA arm D.,"Venetoclax, Zanubrutinib",,,
348,Phase 1/2 studies of DZD8586 in CLL/SLL patients after covalent or non-covalent BTK inhibitors and BTK degraders.,DZD8586,,,
349,SEQUOIA 5-year follow-up in arm C: Frontline zanubrutinib monotherapy in patients with del(17p) and treatment-naive chronic lymphocytic leukemia/small lymphocytic lymphoma (CLL/SLL).,Zanubrutinib,,,
350,"A phase 1/2 study to evaluate the safety and efficacy of XNW5004, a selective EZH2 inhibitor, in subjects with relapsed/refractory non-Hodgkin lymphoma.",XNW-50004,,,
351,"CD79b-targeted antibody-drug conjugate (ADC) SHR-A1912 in combination with rituximab, gemcitabine, and oxaliplatin (R-GemOx) in relapsed or refractory (r/r) diffuse large B-cell lymphoma (DLBCL): Data from a phase 1b/2 study.","Gemcitabine, Oxaliplatin, Rituximab, SHRA-A1912",,,
352,Fixed duration subcutaneous (SC) mosunetuzumab (Mosun) in patients with previously untreated high-tumor burden follicular lymphoma (FL): Interim results from the phase II MorningSun study.,Mosunetuzumab,,,
353,Glofitamab plus gemcitabine and oxaliplatin (Glofit-GemOx) in patients (pts) with relapsed/refractory (R/R) diffuse large B-cell lymphoma (DLBCL): 2-year (yr) follow-up of STARGLO.,"Gemcitabine, Glofitamab, Oxaliplatin",,,
354,Efficacy and safety of first-line ibrutinib plus venetoclax in patients with mantle cell lymphoma (MCL) who were older or had TP53 mutations in the SYMPATICO study.,"Ibrutinib, Venetoclax",,,
355,DREAMM-8 study of belantamab mafodotin plus pomalidomide and dexamethasone (BPd) vs pomalidomide plus bortezomib and dexamethasone (PVd) in relapsed/refractory multiple myeloma (RRMM): A subgroup analysis in patients with high-risk cytogenetic features.,"Belantamab Mafodotin, Dexamethasone",,"Bortezomib, Pomalidomide",
356,"Overall survival (OS) and duration of response for transfusion independence (TI) in erythropoiesis stimulating agent (ESA)–naive patients (pts) with very low-, low-, or intermediate-risk myelodysplastic syndromes (MDS) treated with luspatercept (LUSPA) vs epoetin alfa (EA) in the COMMANDS trial.",Luspatercept,,Epoetin Alfa,
357,Nivolumab (NIVO) plus ipilimumab (IPI) vs chemotherapy (chemo) or NIVO monotherapy for microsatellite instability-high/mismatch repair-deficient (MSI-H/dMMR) metastatic colorectal cancer (mCRC): Expanded analyses from CheckMate 8HW.,"Ipilimumab, Nivolumab",,Nivolumab,
358,"Anlotinib versus bevacizumab added to standard first-line chemotherapy among patients with RAS/BRAF wild-type, unresectable metastatic colorectal cancer: A multicenter, prospective, randomised, phase 3 clinical trial (ANCHOR trial).","Anlotinib, Bevacizumab",,Bevacizumab,
359,A multicenter randomized phase III study for recurrent glioblastoma comparing bevacizumab alone with dose-dense temozolomide followed by bevacizumab: JCOG1308C.,"Bevacizumab, Temozolomide",,"Bevacizumab, Temozolomide",
360,"A global phase 3, open-label, randomized 2-arm study comparing the clinical efficacy and safety of niraparib with temozolomide in adult participants with newly-diagnosed, MGMT unmethylated glioblastoma.",Niraparib,,Temozolomide,
361,"Telisotuzumab adizutecan (ABBV-400; Temab-A) monotherapy vs trifluridine/tipiracil plus bevacizumab in patients with refractory metastatic colorectal cancer with increased c-Met protein expression: An open-label, randomized, phase 3 trial.",Telisotuzumab Adizutecan,,Bevacizumab,
362,"OrigAMI-2: A randomized, phase 3 study of amivantamab vs cetuximab, both in combination with FOLFOX or FOLFIRI, as first-line treatment in left-sided RAS/BRAF wild-type metastatic colorectal cancer.",Amivantamab,,"Cetuximab, Folfiri, Folfox",
363,"OrigAMI-3: A randomized, phase 3 study of amivantamab plus FOLFIRI vs cetuximab or bevacizumab plus FOLFIRI in participants with recurrent, unresectable, or metastatic RAS/BRAF wild-type colorectal cancer.","Amivantamab, FOLFIRI",,"Bevacizumab, Cetuximab, Folfiri",
364,"mFOLFOX6 + bevacizumab + PD-1 monoclonal antibody vs. mFOLFOX6 in locally advanced pMMR/MSS CRC: A multicenter, randomized controlled phase III study (BASKETIII).","Bevacizumab, mFOLFOX6",,mFOLFOX6,
365,Doxorubicin-based chemotherapy vs gemcitabine/docetaxel in uterine leiomyosarcoma (ULMS).,Doxorubicin,,"Docetaxel, Gemcitabine",
366,"Vepdegestrant, a PROTAC estrogen receptor (ER) degrader, vs fulvestrant in ER-positive/human epidermal growth factor receptor 2 (HER2)–negative advanced breast cancer: Results of the global, randomized, phase 3 VERITAC-2 study.",Vepdegestrant,,Fulvestrant,
367,"A real-world, propensity-matched analysis of second-line (2L) FOLFIRI-Ram versus Ram-Pac in advanced upper gastrointestinal cancers.","Folfiri, Ramucirumab",,"Paclitaxel, Ramucirumab",
368,LEAP-002 long-term follow-up: Lenvatinib plus pembrolizumab versus lenvatinib plus placebo for advanced hepatocellular carcinoma.,"Lenvatinib, Pembrolizumab",,Lenvatinib,
369,"A randomized, double-blinded, international phase III trial comparing HLX22 in combination with trastuzumab and chemotherapy versus trastuzumab and chemotherapy with or without pembrolizumab for first-line treatment for HER2-positive locally advanced or metastatic G/GEJ cancer.","Hlx22, Trastuzumab",,"Pembrolizumab, Trastuzumab",
370,"AREN1721, a randomized phase 2 trial of axitinib+nivolumab combination therapy vs. single agent nivolumab for the treatment of TFE/translocation renal cell carcinoma (tRCC) across all age groups, an NCI National Clinical Trials Network (NCTN) phase 2 study.","Axitinib, Nivolumab",,Nivolumab,
371,A phase II (Alliance/A091802) randomized trial of avelumab plus cetuximab vs. avelumab alone in advanced cutaneous squamous cell carcinoma (cSCC).,"Avelumab, Cetuximab",,Avelumab,
372,"Tagitanlimab versus placebo in combination with gemcitabine and cisplatin as first-line treatment for recurrent or metastatic nasopharyngeal carcinoma (R/M NPC): Results from a randomized, double-blind, phase 3 study.",Tagitanlimab,,"Cisplatin, Gemcitabine",
373,A randomized study of neoadjuvant REGN7075 + cemiplimab + chemotherapy (chemo) vs cemiplimab + chemo in patients (pts) with resectable non-small cell lung cancer (NSCLC).,"Cemiplimab, REGN7075",,Cemiplimab,
374,Phase 2 peri-operative study of fianlimab + cemiplimab + chemotherapy versus cemiplimab + chemotherapy in resectable early-stage non-small cell lung cancer (NSCLC).,"Cemiplimab, Fianlimab",,Cemiplimab,
375,"TIGOS-LS, an open-label, randomized study of BMS-986489 vs durvalumab as consolidation therapy following chemoradiotherapy in limited-stage small-cell lung cancer.",BMS-986489,,Durvalumab,
376,"The TIGOS trial: A randomized, double-blind phase 3 trial of atigotatug + nivolumab fixed-dose combination with chemotherapy vs atezolizumab with chemotherapy in patients with 1L extensive-stage small cell lung cancer (ES-SCLC).","Atigotatug, Nivolumab",,Atezolizumab,
377,"A global phase III, double-blind, randomized trial of BNT327/PM8002 plus chemotherapy (chemo) compared to atezolizumab plus chemo in patients (pts) with first-line (1L) extensive-stage small cell lung cancer (ES-SCLC).",PM8002,,Atezolizumab,
378,Acolbifene vs tamoxifen for breast cancer prevention in premenopausal women at high risk for breast cancer.,Acolbifene,,Tamoxifen,
379,A phase 2 study of HLX07 plus serplulimab with or without chemotherapy versus serplulimab plus chemotherapy as first-line therapy in advanced squamous non-small cell lung cancer.,"HLX07, Serplulimab",,Serplulimab,
380,Ripretinib versus sunitinib in imatinib-resistant gastro-intestinal stromal tumor with KIT Exon 11 mutations: A systematic review and meta-analysis.,Ripretinib,,Sunitinib,
381,Electronic patient reported outcomes in breast cancer patients receiving adjuvant chemotherapy with doxorubicin/cyclophosphamide combined with paclitaxel compared to patients receiving docetaxel/cyclophosphamide.,"Cyclophosphamide, Doxorubicin, Paclitaxel",,"Cyclophosphamide, Docetaxel",
382,Efficacy and safety of busulfan-fludarabine versus busulfan-cyclophosphamide as a conditioning regimen prior to hematopoietic stem cell transplant in hematologic malignancy patients: A meta-analysis of randomized controlled trials and observational studies.,"Busulfan, Fludarabine, Hematopoietic Stem Cell",,"Busulfan, Cyclophosphamide",
383,Comparing the bleeding risk in hepatocellular carcinoma patients treated with atezolizumab/bevacizumab versus durvalumab plus tremelimumab.,"Atezolizumab, Bevacizumab",,"Durvalumab, Tremelimumab",
384,Cardiovascular adverse events in multiple myeloma patients: A comparative study analysis of daratumumab vs. lenalidomide.,Daratumumab,,Lenalidomide,
385,Retrospective comparison of abatacept (Aba) and half-dose posttransplant cyclophosphosphamide (PTCy) compared with standard dose PTCy GVHD prophylaxis.,Abatacept,,Cyclophosphosphamide,
386,Effectiveness and safety of the amivantamab to lazertinib versus lazertinib alone in EGFR mutant metastatic non-small-cell lung cancer: Systematic review and meta-analysis.,"Amivantamab, Lazertinib",,Lazertinib,
387,Efficacy and safety of nivolumab and docetaxel combination therapy versus nivolumab monotherapy for the treatment of advanced non-small cell lung cancer: A systematic review and meta-analysis.,"Docetaxel, Nivolumab",,Nivolumab,
388,Comparative efficacy and safety of donafenib versus bevacizumab in combination with immune checkpoint inhibitors and interventional therapy for advanced hepatocellular carcinoma: A retrospective cohort study.,Donafenib,,Bevacizumab,
389,Protein-bound paclitaxel/carboplatin compared to solvent-based paclitaxel/carboplatin in treatment of advanced stage of cervical cancer.,"Carboplatin, Paclitaxel",,"Carboplatin, Paclitaxel",
390,Comparative efficacy of adjuvant FOLFOX versus FLOT following neoadjuvant FLOT in locally advanced gastric cancer.,FOLFOX,,FLOT,
391,Safety and efficacy of sintilimab versus pembrolizumab in the treatment of advanced or recurrent pediatric malignancies: A real-world study in China.,Sintilimab,,Pembrolizumab,
392,"Risk of autoimmune hepatitis, non-infectious gastroenteritis, and colitis among patients with metastatic clear cell renal cell carcinoma (ccRCC) treated with pembrolizumab/axitinib vs nivolumab/ipilimumab.","Axitinib, Pembrolizumab",,"Ipilimumab, Nivolumab",
393,Concomitant treatment with 2nd generation hormone therapy and 177Lut PSMA versus 177Lut PSMA alone: Does it improve PSA response rates?,177Lut PSMA,,177Lut PSMA,
394,177Lu-vipivotide tetraxetan PSMA vs cabazitaxel in metastatic castration-resistant prostate cancer: A real-world analysis using the TriNetX database.,177Lu-Vipivotide Tetraxetan PSMA,,Cabazitaxel,
395,Outcomes of additional BCG versus sequential gemcitabine + docetaxel in BCG-exposed high-risk non–muscle-invasive bladder cancer.,Bacillus Calmette-Guerin,,"Docetaxel, Gemcitabine",
396,Belantamab mafodotin + pomalidomide + dexamethasone (BPd) vs daratumumab + bortezomib + dexamethasone (DVd) in relapsed/refractory multiple myeloma: An indirect comparison using patient-level data.,"Belantamab Mafodotin, Dexamethasone, Pomalidomide",,"Bortezomib, Daratumumab, Dexamethasone",
397,Sacituzumab govitecan (SG) + pembrolizumab (pembro) vs chemotherapy (chemo) + pembro in previously untreated PD-L1–positive advanced triple-negative breast cancer (TNBC): Primary results from the randomized phase 3 ASCENT-04/KEYNOTE-D19 study.,"Pembrolizumab, Sacituzumab Govitecan",,Pembrolizumab,
398,Trastuzumab deruxtecan (T-DXd) + pertuzumab (P) vs taxane + trastuzumab + pertuzumab (THP) for first-line (1L) treatment of patients (pts) with human epidermal growth factor receptor 2–positive (HER2+) advanced/metastatic breast cancer (a/mBC): Interim results from DESTINY-Breast09.,"Pertuzumab, Trastuzumab Deruxtecan",,"Pertuzumab, Trastuzumab",
399,"ALTER-PA001: A multicenter, randomized study of anlotinib and benmelstobart in combination with AG chemotherapy vs. AG as first-line treatment for metastatic pancreatic cancer.","Anlotinib, Benmelstobart, Gemcitabine, Nab-Paclitaxel",,"Gemcitabine, Nab-Paclitaxel",
400,"A multi-centre, stratified, open, randomized, comparator-controlled, parallel group phase II trial comparing adjuvant treatment with 177Lu-DOTATATE to standard of care in patients after resection of neuroendocrine liver metastases (NELMAS).",177Lu-Dotatate,,,
401,NCI 10479: A phase I dose escalation-expansion trial of sunitinib malate plus lutetium (Lu-177) dotatate in somatostatin receptor positive pancreatic neuroendocrine tumors.,"177Lu-Dotatate, Sunitinib Malate",,,
402,"High-dose 1,3-bis-(2-chloroethyl)-1-nitrosourea (BCNU) chemoembolization for treatment-naïve patients with limited uveal melanoma hepatic metastases.","1,3-Bis-(2-Chloroethyl)-1-Nitrosourea",,,
403,Clinical utility of [18F]fluoroestradiol (FES) PET/CT to guide second-line treatment decision in patients with ER-positive HER2-negative metastatic breast cancer progressing on first-line endocrine therapy.,[18F]-Fluoroestradiol,,,
404,‘One button push’ fully automated PSMA PET quantification: Correlation with progression free and overall survival in patients undergoing [177Lu] Lu PSMA therapy for metastatic castrate resistant prostate cancer.,[177Lu] Lu PSMA,,,
405,"PSMA-delay castration (DC): An open-label, multicenter, randomized phase 3 study of [177Lu]Lu-PSMA-617 versus observation in patients with metachronous PSMA-positive oligometastatic prostate cancer (OMPC).",[177Lu]Lu-PSMA-617,,,
406,STARLITE-1: Phase 1b/2 study of combination 177Lu girentuximab plus cabozantinib and nivolumab in treatment naive patients with advanced clear cell RCC.,"177Lu Girentuximab, Cabozantinib, Nivolumab",,,
407,STARLITE 2: Phase 2 study of nivolumab plus 177lutetium-labeled anti–carbonic anhydrase IX (CAIX) monoclonal antibody girentuximab (177Lu-girentuximab) in patients with advanced clear cell renal cell carcinoma (ccRCC).,"177Lu-Girentuximab, Nivolumab",,,
408,Outcomes with 177 lutetium-dotatate (177Lu-dotatate) in olfactory neuroblastoma (ONB): A case series.,177Lu-Dotatate,,,
409,Interim safety and efficacy data of [212Pb]VMT01 in MC1R expressing melanoma.,[212Pb]VMT01,,,
410,Artificial intelligence to predict outcome after [177Lu]Lu-PSMA for metastatic castration-resistant prostate cancer: Preliminary results from a multicentric prospective study.,[177Lu]Lu-PSMA,,,
411,"Imaging with [89Zr]Zr-DFO-SC16.56 anti-DLL3 antibody in patients with neuroendocrine tumors of the prostate: A phase 1/2, first-in-human trial.",[89Zr]Zr-DFO-SC16.56,,,
412,"Efficacy and safety of anlotinib combined with ¹³¹I therapy in the treatment of distant metastatic differentiated thyroid cancer: A single-arm, phase II clinical study.","131I, Anlotinib",,,
413,The role of [18F]16α-fluoro-17β-fluoroestradiol (FES) PET in predicting response to endocrine therapy (ET) in advanced breast cancer.,[18F]-16a-Fluoro-17b-Fluorohestradil,,,
414,Correlation of [68 Ga]Ga-PSMA-11 PET biodistribution with immunohistochemical PSMA expression in hepatocellular carcinoma: Results from the prospective study MORE-PSMA.,[68 Ga]Ga-PSMA-11,,,
415,Safety and antitumor activity of 177Lu-catelase: A preliminary clinical study in soft tissue sarcoma.,177Lu-Catalase,,,
416,First-in-human study of 177Lu-JH020002 in patients with metastatic castration-resistant prostate cancer.,177Lu-JH020002,,,
417,A randomized phase III trial investigating platinum and taxane chemotherapy in metastatic castration resistant prostate cancer (mCRPC) patients with alterations in DNA damage response (DDR) genes (OPTION-DDR) CCTG-PR-25 NCT06439225.,,,,
418,Kaleido registry: A multi-center registry platform with site staff and automation to enable accelerated clinical research and drug development at scale in community practices.,,,,
419,Efficacy of immune checkpoint inhibitors (ICI) in patients (pts) with central nervous system (CNS) metastases (mets) from solid tumors: A systematic review and meta-analysis.,,,,
420,Progression-free survival as a surrogate outcome for overall survival in ovarian cancer maintenance therapy randomized controlled trials.,,,,
421,"Anxiety, depression, fear of cancer recurrence (FCR) and health-related quality of life (HRQL) in people with melanoma receiving adjuvant therapies.",,,,
422,Welcome and Introduction,,,,
423,The Power of Choice in a Cancer Journey,,,,
424,Spiritual Care and Religious Literacy in Cancer Care,,,,
425,Cancer Care Choices: What Patients Want and What Oncologists Wish,,,,
426,Breast Cancer Doesn't Care About Gender,,,,
427,Too Young for Cancer,,,,
428,Transforming the Battlefield: Targeting the Tumor Microenvironment,,,,
429,Deciphering and Disrupting Immunotherapy Resistance Pathways,,,,
430,Pushing the Boundaries: Next-Generation Immunotherapy Combinations,,,,
431,Panel Question and Answer,,,,
432,Artificial Intelligence in Cancer Care: How ASCO Is Influencing Artificial Intelligence in the Cancer Community,,,,
433,Practical Applications of Artificial Intelligence in the Practice Setting,,,,
434,Moderator,,,,
435,Translational Researcher Perspective,,,,
436,Medical Oncologist Perspective,,,,
437,Hematologist-Oncologist Perspective,,,,
438,Panel Question and Answer,,,,
439,Emerging Therapeutics for Patients with Brain Tumors and Rare Oncogenic Drivers,,,,
440,Targeted Therapy for Patients With IDH-Mutant Glioma,,,,
441,Selection of Blood-Brain Barrier Penetrant Inhibitors for Brain Metastases and Primary CNS Malignancies,,,,
442,Panel Question and Answer,,,,
443,Panel Question and Answer,,,,
444,Panel Question and Answer,,,,
445,Chair,,,,
446,Chair,,,,
447,Prophylactic infusion of allogeneic double-negative T cells as immune modulators to prevent relapse in high-risk AML patients after allo-HSCT: A phase I trial.,Allogeneic Double-Negative T Cell,,,
448,"Engineering iPSC-derived mesenchymal stem cells (i MSCs) to secrete IL-7/IL-15 for modulation of the tumor microenvironment in a ""cold"" ovarian tumor model.",iPSC-Derived Mesenchymal Stem Cell,,,
449,Novel dynamic circulating biomarkers for predicting therapeutic efficacy of PRaG regimen in advanced refractory solid tumors.,PRaG,,,
450,Consolidative camrelizumab following definitive concurrent chemoradiotherapy with involved-field irradiation in locally advanced esophageal squamous cell carcinoma: A single-arm phase 2 trial.,Camrelizumab,,,
451,Neoadjuvant serplulimab with concurrent chemoradiotherapy in resectable esophagogastric junction adenocarcinoma: Phase 2 updated results.,Serplulimab,,,
452,A randomized controlled study of tislelizumab combined with concurrent chemoradiotherapy in the treatment of locally advanced cervical cancer and the predictive value of T lymphocyte subsets for efficacy.,Tislelizumab,,,
453,"PD-1 inhibitors combined with radiotherapy and GM-CSF, sequentially followed by IL-2 regimen in advanced refractory solid tumors: A prospective, multicenter clinical trial.",IL-2,,,
454,Phase 1 clinical trial of autologous T-cells genetically engineered with a chimeric receptor to target the follicle-stimulating hormone receptor (FSHR) in recurrent ovarian cancer (OVCA).,Autologous T Cell,,,
455,"A multi-center, single-arm, phase II study of pemigatinib combined with immune checkpoint inhibitor in FGFR1/2/3 alteration advanced solid tumor.",Pemigatinib,,,
456,Cardiovascular risks associated with aromatase inhibitors versus tamoxifen in breast cancer: A systematic review and meta-analysis.,Tamoxifen,,,
457,"BC3195, a novel ADC targeting cadherin-3 (CDH3): Updated results of a first-in-human phase I study in patients with advanced solid malignancies.",BC3195,,,
458,"RC48-ADC combined with radiotherapy and immunotherapy as salvage therapy for advanced solid tumors with HER2 expression: A multicenter, phase II trial.",RC48,,,
459,Phase 1 dose-escalation trial of talazoparib in combination with belinostat in select advanced solid tumors.,"Belinostat, Talazoparib",,,
460,Effect of irradiation on the killing effect of NK cells in colon cancer through MYB/TIM3 axis.,NK Cell,,,
461,The efficacy and safety of a selective PARP1 inhibitor ACE-86225106 in patients with advanced solid tumors: Preliminary results from a first-in-human phase 1/2 study.,ACE-86225106,,,
462,MODULE 4: Current Role of CAR T-Cell Therapy in Various Non-Hodgkin Lymphoma (NHL) Subtypes,CAR T Cell,,,
463,Role of Chimeric Antigen Receptor T-Cell Therapy in the Management of Relapsed/Refractory (R/R) Multiple Myeloma (MM),CAR T Cell,,,
464,"PRAGMATICA-LUNG (SWOG S2302): A prospective, randomized study of ramucirumab plus pembrolizumab versus standard of care for participants previously treated with immunotherapy for stage IV or recurrent non-small cell lung cancer.","Pembrolizumab, Ramucirumab",,,
465,"Envafolimab plus docetaxel in combination with or without trilaciclib versus docetaxel in pretreated advanced or metastatic non-small cell lung cancer (NSCLC): Preliminary analysis of an open-label, randomized, phase II trial.","Docetaxel, Envafolimab",Trilaciclib,Docetaxel,
466,Second-line treatment patterns and outcomes of advanced gastrointestinal stromal tumor: A real-world study.,,,,
467,Predicting transposable element-derived neoantigens in ATRX-mutated sarcoma.,,,,
468,Spatial and bulk transcriptomic analysis of skin Kaposi sarcoma lesions: Differences by disease characteristics.,,,,
469,Early assessment of response to chemotherapy via ctDNA in soft tissue sarcoma.,,,,
470,Kaposi sarcoma herpesvirus (KSHV) subtypes and impact on survival in 107 patients with Kaposi sarcoma and other KSHV-associated diseases.,,,,
471,Advancing precision oncology in soft tissue sarcomas: The role of iTRAC in metastatic risk stratification and treatment personalization.,,,,
472,Molecular subtyping and insights into sarcoma biology and prognosis.,,,,
473,Early on-treatment ctDNA dynamics and response by imaging in patients with sarcoma.,,,,
474,MicroRNA-based biomarkers of outcome in soft tissue sarcoma treated with hypofractionated preoperative radiation therapy.,,,,
475,Circulating free DNA derived from active chromatin as a predictive biomarker for clinical benefit to checkpoint inhibitor-based therapies in metastatic leiomyosarcoma.,,,,
476,Neutrophil-to-lymphocyte ratio as a clinical biomarker for immune checkpoint inhibitor response in advanced sarcoma.,,,,
477,Pediatric patients with tenosynovial giant cell tumor: Real-world results from an observational registry.,,,,
478,"Gamma secretase inhibitors and desmoid fibromatosis: Lessons from a real world, comprehensive genomic study of desmoids and CTNNB1/APC mutated soft tissue tumors.",,,,
479,"The global, regional, and national burden of soft tissue sarcomas and other extraosseous sarcomas, 1990-2021: A systematic analysis for the Global Burden of Disease study 2021.",,,,
480,Clinicopathologic features and outcomes of follicular dendritic cell sarcoma with or without Castleman disease: A large retrospective cohort analysis.,,,,
481,Molecular-genetic characteristics of soft tissue sarcomas associated with the development of chemotherapy resistance.,,,,
482,Clinical activity of immune checkpoint blockade in advanced perivascular epithelioid cell neoplasms (PEComas): A retrospective single center study.,,,,
483,Detecting hotspots of intra- and transchromosomal fusions in liposarcomas by RNA sequencing.,,,,
484,Treatment discontinuation in desmoid tumors: Factors associated with better outcomes after sorafenib discontinuation.,,,,
485,Heterogeneity in epithelioid hemangioendothelioma (EHE): Insights into common and organ-specific tumor pathways.,,,,
486,"An Open-Label Clinical Trial Of Rvu120 As Monotherapy And In Combination With Ruxolitinib In Patients With Intermediate Or High-Risk, Primary Or Secondary Myelofibrosis (Potami-61).",RVU-120,Ruxolitinib,,
487,"A Randomized, Multi-Center Study Of Carfilzomib, Lenalidomide And Dexamethasone (Krd) With Or Without Daratumumab (D) For The Treatment Of Patients With Newly Diagnosed Multiple Myeloma (Ndmm): The Advance Clinical Trial","Carfilzomib, Dexamethasone, Lenalidomide",Daratumumab,,
488,Hematological Improvement And Other Clinical Benefits Of Elritercept As Monotherapy And In Combination With Ruxolitinib In Participants With Myelofibrosis (Mf) From The Ongoing Phase 2 Restore Trial,Elritercept,Ruxolitinib,,
489,"Golcadomide (Golca), A Cereblon E3 Ligase Modulator (Celmod™) Agent, ± Rituximab (R) In Patients With Relapsed/Refractory (R/R) Diffuse Large B-Cell Lymphoma (Dlbcl): Updated Phase 1/2 Study Results",Golcadomide,Rituximab,,
490,Circulating Tumour Dna-Directed Intervention With Epcoritamab Alone Or In Combination With Lenalidomide And Rituximab Is Feasible In The Early Post-Car-T Population At High Risk Of Relapse: Preliminary Data From Eplcart,Epcoritamab,"Lenalidomide, Rituximab",,
491,"Novel Zcr (Zanubrutinib, Chidamide, Rituximab) ± Chop Regimen Demonstrates Promising Efficacy In Frontline Treatment Of Double-Expressor Diffuse Large B-Cell Lymphoma(De-Dlbcl)","Chidamide, Rituximab, Zanubrutinib",CHOP,,
492,Orelabrutinib Combined With Ice Regimen With Or Without Rituximab (O-Ice±R) For Relapsed/Refractory Diffuse Large B-Cell Lymphoma With Extranodal Involvement,"ICE, Orelabrutinib",Rituximab,,
493,Zr Study: A Prospective Phase Ii Clinical Trial Evaluating Zanubrutinib-Rituximab Induction Therapy With Or Without Autologous Stem Cell Transplantation In Treatment-Naïve Mantle Cell Lymphoma,"Rituximab, Zanubrutinib",Autologous Stem Cell,,
494,Minimal Residual Disease With Bendamustine-Rituximab With Or Without Acalabrutinib In Patients With Previously Untreated Mantle Cell Lymphoma: Results From The Phase 3 Echo Trial,"Bendamustine, Rituximab",Acalabrutinib,,
495,"A Prospective, Two-Arm, Phase Ii Study To Evaluate The Efficacy And Safety Of Orelabrutinib Plus Zuberitamab With Or Without Lenalidomide (Hilo) In Patients With Treatment-Naïve Marginal Zone Lymphoma","Orelabrutinib, Zuberitamab",Lenalidomide,,
496,"Carfilzomib, Pomalidomide, Dexamethasone With And Without Daratumumab In Relapsed/Refractory Multiple Myeloma: A Multi-Center, Prospective Real World Study In China","Carfilzomib, Dexamethasone, Pomalidomide",Daratumumab,,
497,"Efficacy Of Rituximab-Bendamustine With Or Without Acalabrutinib In Patients With Untreated, High-Risk Mantle Cell Lymphoma: An Analysis Of The Phase 3 Echo Trial","Bendamustine, Rituximab",Acalabrutinib,,
498,Impact Of Hypomethylating Agents +/- Venetoclax For The Management Of Acute Myeloid Leukemia And Myelodysplastic Patients Relapsing After Allogeneic Stem Cell Transplantation: A Subanalysis On 308 Patients Of The Gitmo Aml/Mds-Relapse Registry Study.,Allogeneic Stem Cell,Venetoclax,,
499,Clinical Outcomes Of Newly Diagnosed Pcnsl Treated With Rituximab-Methotrexate-Cytarabine With Or Without Ibrutinib: A Retrospective Study,"Cytarabine, Methotrexate, Rituximab",Ibrutinib,,
500,"Orelabrutinib, Rituximab, And Thiotepa (Ort) In Combination With Orwithout High-Dose Methotrexate In Untreated Primary Central Nervoussystem Lymphoma","Orelabrutinib, Rituximab, Thiotepa",Methotrexate,,
